userName,score,at,content
Pengguna Google,4,2025-04-19 04:03:30,banyak hadiah ff yg hilang dan sinyalnya padahal bagus lo tapi loging2 terus tolong di perbaikin ya
Pengguna Google,1,2025-04-19 04:02:20,gw login tapi GK mau²
Pengguna Google,5,2025-04-19 04:02:00,baik
Pengguna Google,5,2025-04-19 04:01:31,keren
Pengguna Google,1,2025-04-19 03:59:56,burikk
Pengguna Google,5,2025-04-19 03:58:36,seru banget pasti kalian ketagihan main free fire
Pengguna Google,1,2025-04-19 03:57:29,denmeg nya makin jelek aja
Pengguna Google,4,2025-04-19 03:54:55,aku sedih Karena FF TIDAK BERKOBESI DENGAN NARUTO LAGI tapi tapi FF masih seru dimainin Naruto semoga beroperasi lagi dengan dengan FF 😭😭😭😭😭😭
Pengguna Google,5,2025-04-19 03:54:52,bermain samgat dan mabar bersama tema
Pengguna Google,1,2025-04-19 03:54:47,burik kali
Pengguna Google,3,2025-04-19 03:54:46,"ff sekarang udah gk seru,ini kan game battle masa bisa idup lagi sih,pokonya saya maunya kembalikan ff seperti dulu fiturnya, pokonya kayak tahun 2019-2020 kembalikan vibes ff pada jaman itu!!"
Pengguna Google,5,2025-04-19 03:53:53,game nya bagusss udah gitu aja🗿
Pengguna Google,5,2025-04-19 03:53:40,maer ki game
Pengguna Google,3,2025-04-19 03:51:40,Satria Garuda
Pengguna Google,5,2025-04-19 03:50:37,Game keren walau pun banyak bag nya
Pengguna Google,1,2025-04-19 03:48:40,game nya bagus tapi musuh nya di luar nalar😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
Pengguna Google,5,2025-04-19 03:46:57,keren
Pengguna Google,1,2025-04-19 03:46:53,membosankan
Pengguna Google,5,2025-04-19 03:46:38,bagus cok
Pengguna Google,5,2025-04-19 03:46:00,bagus ff mah
Pengguna Google,5,2025-04-19 03:44:11,Manta
Pengguna Google,5,2025-04-19 03:43:41,bang pengen alok
Pengguna Google,5,2025-04-19 03:41:11,SURGAMU DI DEPAN MATA SOBAT
Pengguna Google,5,2025-04-19 03:40:06,mohon maaf admin garena mau naya kenapa akun abang ku di bannd tanpa alasan udh gitu bannd pemanen lagi mohon di jelaskan ya garena nicname: bsk beban
Pengguna Google,5,2025-04-19 03:38:58,burik
Pengguna Google,5,2025-04-19 03:38:17,biasa aja
Pengguna Google,5,2025-04-19 03:36:36,seru banget bisa Mabar
Pengguna Google,1,2025-04-19 03:35:00,Garena pelit
Pengguna Google,3,2025-04-19 03:34:09,kadang ngeleg dan banyak banget cheteer cukup bagus saranku buat event horor dong buat rumah hantu goa dan hadiah horor lainnya🙏
Pengguna Google,5,2025-04-19 03:34:02,"min, mintak tolong perbaiki sinyal nya min pdhal udah bagus2 pakek wifi ubah data juga masi aja nglek"
Pengguna Google,1,2025-04-19 03:33:41,"FF=HAMA😹😹👎👎SURGA BAGI BOCIL INGUSAN O,O BIT GRAFIK MAJAPAHIT"
Pengguna Google,1,2025-04-19 03:32:19,jaringan suka ngelek beliin hp nanti kasih bintang5
Pengguna Google,5,2025-04-19 03:32:10,ff mantap bang jaringan nya aja si perlu di perbaiki ngeleg mulu
Pengguna Google,1,2025-04-19 03:32:07,Garena kenapa skin aku ga ad tapi aku liat ke orang skin ku Masih ad kenapa ya?
Pengguna Google,4,2025-04-19 03:31:39,kenapa aku tidak jadi main setiap kali aku download orang error error akan kecapi aku
Pengguna Google,5,2025-04-19 03:27:47,Game ini burik 8bit gk ada pintu tapi bongung game ini sangat bagus banget kalian wajib Donlot
Pengguna Google,1,2025-04-19 03:27:43,aku kil tiga tapii minus 2 Jan si donlot
Pengguna Google,5,2025-04-19 03:26:41,GAMEPLAY yang baik dan seru
Pengguna Google,2,2025-04-19 03:26:37,game bang** dikasih derak sistem 5 kali anj** menag mon** game ba**
Pengguna Google,5,2025-04-19 03:26:21,min makasih dah membuat game yang sangat aku suka
Pengguna Google,5,2025-04-19 03:25:47,sangat seruuuuu
Pengguna Google,1,2025-04-19 03:23:48,garena kontl jaringan ngelag ajg gimana mau nyaman coba pake wifi buat ff ngelag abis mati jaringan normal lagi emang anjg apk ini padahal buat main game lain lancar dulu juga awal² an main di 2020 juga lancar pake wifi sekarang baru turung udah ngelag abis itu normal pas udah mati
Pengguna Google,5,2025-04-19 03:23:41,game ini bagus banget paling top lah
Pengguna Google,3,2025-04-19 03:23:14,karna aku pake akun mama ku jdi bosan main di hp Mak ku aj
Pengguna Google,5,2025-04-19 03:22:59,"PLEASE MAKE THE GRAPHICS GOOD, DOES IT HAVE TO MATCH THE RAM OF THE PHONE? PLEASE THE FREE FIRE GAME IS VERY GOOD, BUT PLEASE MAKE THE GRAPHICS GOOD SO THAT OTHER PEOPLE WITH LESS GOOD PHONES CAN PLAY SMOOTHLY , AND PLEASE RELEASE INTERESTING EVENTS LIKE FOLLOWING ANIME LIKE NARUTO, LUFFY THE PIRAT, AND OTHERS, PLEASE READ, BROTHER GGAREN. PLEASE FIX IT, I ALREADY GIVE IT 5 START. INI SAYA PAKE BAHASA INDONESIA KARENA INI PENTING: YANG PALING PENTING ITU GRAFIKNYA GAK ENAK"
Pengguna Google,5,2025-04-19 03:19:49,seru
Pengguna Google,5,2025-04-19 03:19:31,Bagaimana ff sering gelek wifi ya jadi gk enak mainya pdahal sudah pakek data
Pengguna Google,5,2025-04-19 03:18:44,bagus
Pengguna Google,1,2025-04-19 03:18:42,kenapa ga bisa di download
Pengguna Google,1,2025-04-19 03:16:14,ff sekarang makin burik hapus aja ff dari PlayStore
Pengguna Google,4,2025-04-19 03:16:05,ini sangat bagus tapi keluar terus
Pengguna Google,5,2025-04-19 03:15:30,maennnn ne polll
Pengguna Google,4,2025-04-19 03:14:49,aku geram sama tembus gloowl tolong diperbaiki segera GARENA
Pengguna Google,5,2025-04-19 03:14:46,"game nya bagus, tapi ini sepinnya kenapa susah pak garena, saya udah habis berapa dm, tolongya bapak garena, dan saya kasih bintang 5 ajadeh karna ini game favorit saya"
Pengguna Google,5,2025-04-19 03:13:43,free fire permainan no 1 di play store dan di Indonesia
Pengguna Google,5,2025-04-19 03:13:17,mbeng aku hoki
Pengguna Google,2,2025-04-19 03:12:46,tolong di perbaiki lagi game nya padah mau reload karna patah patah tapi honor skor nya turun GK ngotak
Pengguna Google,5,2025-04-19 03:10:53,bagus
Pengguna Google,5,2025-04-19 03:09:20,free fire selalu di hati
Pengguna Google,5,2025-04-19 03:08:15,ff emang gem terbaik 👍💯
Pengguna Google,5,2025-04-19 03:08:02,game nya bagus
Pengguna Google,5,2025-04-19 03:07:54,"bisa main, bagus 😍👍"
Pengguna Google,2,2025-04-19 03:07:32,kenapa aplikasi ini ff gak bisa menginstal
Pengguna Google,4,2025-04-19 03:07:09,"min tolong dong di perbaiki,aku udh nyepin sg gurun ,pdhl kurang 1 batu lagi,udh ngabisin 1000 dm tpi tetep ga dapet²,sma tolong mb nya kecilin dikit,soal nya memo hp nya gampang penugh,pdhl apk yng ak pnya cmn wa sma epep"
Pengguna Google,5,2025-04-19 03:04:59,mimin garena bagusin dikit dong grafiknya biar nambah seru dan keren terimahkasih i love you garena.
Pengguna Google,5,2025-04-19 03:04:30,game sanagt² seru🤟😎🤟
Pengguna Google,5,2025-04-19 03:02:28,saya suka gem ini
Pengguna Google,5,2025-04-19 03:01:35,gamenya bagus tapi kalo aku spin sg gurun yah tolong lah min kalo udah satu lagi tokennya suka gk dikasih padahal tinggal satu lagi knp pelit lu min cuman minta token sg 1 aja gk boleh
Pengguna Google,5,2025-04-19 03:01:03,sangat seru
Pengguna Google,5,2025-04-19 03:00:54,Seru bangett😍😍😍😍
Pengguna Google,5,2025-04-19 02:59:40,🤗🤗🤗
Pengguna Google,5,2025-04-19 02:57:46,bagus pol
Pengguna Google,5,2025-04-19 02:55:58,keren banget aku di kasi budle
Pengguna Google,5,2025-04-19 02:55:37,mtp men
Pengguna Google,5,2025-04-19 02:54:55,Garena gua lagi main kok tiba tiba keluar min tolong min diperbaiki
Pengguna Google,5,2025-04-19 02:54:50,saya terus dikasih hoki
Pengguna Google,5,2025-04-19 02:54:46,saya ilang akun ff tapi ini juga jelek tolong akun xin panel
Pengguna Google,5,2025-04-19 02:50:41,ff paling aku suka .
Pengguna Google,1,2025-04-19 02:50:33,burik
Pengguna Google,5,2025-04-19 02:49:44,💯
Pengguna Google,5,2025-04-19 02:48:36,bagus
Pengguna Google,5,2025-04-19 02:48:03,sangat asik
Pengguna Google,5,2025-04-19 02:48:03,game yang bagus
Pengguna Google,5,2025-04-19 02:47:25,jelek burik eeg
Pengguna Google,4,2025-04-19 02:45:44,Bagus kok game nya tapi tolong diperbaikin lagi ff nya di hp Huawei y5 praim 2018 tolong ya
Pengguna Google,1,2025-04-19 02:45:22,"Min kenapa tiba-tiba dikick dari matching padahal nggak ada yang salah sama data game dan nggak ada aplikasi pihak ketiga tiba tiba diban 7hari kalo gini jadi males main, kecewa berat Sama sistem dan juga,ini sudah 6 tahun. Kalo gw ngecheat udah dari awal main ff kaya gitu nggak perlu rawat akun sampai sekarang,udah top up berjuta-juta ujung ujungnya malah diban mohon sistem ban nya diperhatikan lagi masih banyak orang yang pake panel lah apalah itu,yang sistemnya tembak badan headshot."
Pengguna Google,5,2025-04-19 02:44:20,godd
Pengguna Google,5,2025-04-19 02:43:25,game ff sangat keren untuk di mainin bareng teman atau solo game nya cocok banget buat kita makasih Garena telah membuat game ini
Pengguna Google,5,2025-04-19 02:41:46,Mantap
Pengguna Google,5,2025-04-19 02:41:38,ini sangat baik
Pengguna Google,4,2025-04-19 02:41:06,Kurangin sedikit dong penyimpanannya
Pengguna Google,5,2025-04-19 02:40:48,Game ini bagus sampe aku sultan
Pengguna Google,4,2025-04-19 02:40:07,"game nya bagus,tapi tolong lah garena bug bug nya hilangin dan perbaiki.....segitu aja"
Pengguna Google,5,2025-04-19 02:38:32,bagus
Pengguna Google,5,2025-04-19 02:36:58,aku suka sekali tidak pernah bosan aku memainkannya
Pengguna Google,5,2025-04-19 02:36:31,seru bgt terus game nya mulus gampang lagi mirip ML
Pengguna Google,4,2025-04-19 02:36:09,𝚜𝚎𝚛𝚞 𝚋𝚒𝚜𝚊 𝚖𝚊𝚋𝚊𝚛 𝚜𝚊𝚖𝚊 𝚝𝚎𝚖𝚊𝚗 𝚓𝚊𝚞𝚑
Pengguna Google,3,2025-04-19 02:35:44,ff hama
Pengguna Google,1,2025-04-19 02:33:19,game nya susah di download busuk
Pengguna Google,5,2025-04-19 02:32:31,game ini sangat seru aku suka memainkan nya
Pengguna Google,5,2025-04-19 02:31:03,bagus
Pengguna Google,1,2025-04-19 02:28:48,bintang satu main cs dikit² sinyal epep jembut merah padahal sinyal paketan 4G(bagus)... bikin emosi
Pengguna Google,5,2025-04-19 02:28:19,Game nya baguss bett tapi di hp aku ma suka ngebag
Pengguna Google,5,2025-04-19 02:27:11,sangat seru
Pengguna Google,1,2025-04-19 02:26:44,Garena tuh tulul masa gua spin gak hoki terus sih banke Garena minimal kasih gua hoki lah sekali
Pengguna Google,1,2025-04-19 02:25:30,jangan kalian main di bulan puasa
Pengguna Google,4,2025-04-19 02:24:49,seruu
Pengguna Google,1,2025-04-19 02:24:12,Apa ini geme buruk 👎👎 dan garena mabok laut
Pengguna Google,5,2025-04-19 02:24:10,sangat seru
Pengguna Google,1,2025-04-19 02:24:01,game rusak
Pengguna Google,5,2025-04-19 02:21:10,terbaikkk
Pengguna Google,1,2025-04-19 02:20:29,game nya gak bagus perbaiki lah jaringan nya Garena padahal sinyal ku dh bagus anjj😭😭😭
Pengguna Google,5,2025-04-19 02:19:48,"tolong Garena perbaiki soal jaringan padahal sinyal wifi ku kuat tapi kok ngak bisa login,,,,soal permainan nya bagus tapi soal jaringan nya ngak tolong di perbaiki"
Pengguna Google,1,2025-04-19 02:19:30,GARENA MANTAP
Pengguna Google,5,2025-04-19 02:18:43,game ini sangat seru😁😁😁👍ಡ⁠ ͜⁠ ⁠ʖ⁠ ⁠ಡ
Pengguna Google,5,2025-04-19 02:18:16,sangat seru aku ingin akun ku berkembang
Pengguna Google,5,2025-04-19 02:16:20,cihuy😚
Pengguna Google,1,2025-04-19 02:15:57,GK lag TPI gamenya diley glowal diley terus bag demeg masih bisa dibicarakan
Pengguna Google,5,2025-04-19 02:14:50,mantap gemenya seru
Pengguna Google,4,2025-04-19 02:13:40,mantappppp❗❗
Pengguna Google,1,2025-04-19 02:09:58,Pls Garena Lobby nya Di Bagusin Kayak Dulu Aku Mohon. Aku kasi bintang 5 biar di Bagusin lagi lobby nya. Dan grafik agak di turunin biar pada gk lag. Semoga di terima
Pengguna Google,5,2025-04-19 02:06:03,game dari dulu ku mainin
Pengguna Google,4,2025-04-19 01:59:53,gamenya sangat bagus
Pengguna Google,1,2025-04-19 01:59:51,makin di update makin gk jelas kena band 3 hari gara2 ktmu citers eh udah 3 hari boleh main 1 hari trus di band lagi 3 hari kan garena gk jelas keamana garena gk jelas
Pengguna Google,5,2025-04-19 01:59:12,Game Yg Bagus
Pengguna Google,5,2025-04-19 01:58:27,permainan yg bagu
Pengguna Google,5,2025-04-19 01:58:06,Mabar terus nyampe malam 🗿🗿
Pengguna Google,5,2025-04-19 01:55:26,bagus
Pengguna Google,5,2025-04-19 01:53:10,lemot
Pengguna Google,1,2025-04-19 01:48:21,ff burik bikin darah tinggi memang
Pengguna Google,5,2025-04-19 01:48:21,good
Pengguna Google,5,2025-04-19 01:47:17,bisa buat bermain
Pengguna Google,1,2025-04-19 01:47:16,oy Garena bego ngapa kalo saya udah boyah naik nya cuma 1 susah susah byone Ama musuh cuma dapat satu bisa mikir gaksih ini bug benerin oke dasar garena
Pengguna Google,5,2025-04-19 01:45:46,sepertinya seru oleh karna ini saya mendownload nya semoga saja di kasih dm ya 😉😉
Pengguna Google,5,2025-04-19 01:43:51,game ini sangat menarik
Pengguna Google,4,2025-04-19 01:41:59,Garena tolong saya gak bisa matchmaking kecuali pakai data kalo dari gameplay udh bagus paling grafiknya lah yaa
Pengguna Google,5,2025-04-19 01:40:49,baguss
Pengguna Google,5,2025-04-19 01:40:24,tolong perbaiki sinyal nya 🙏🙏🙏🙏
Pengguna Google,5,2025-04-19 01:39:31,Bagus
Pengguna Google,1,2025-04-19 01:38:53,gamenya udah bagus tapi masih aja ngelag pasti di setiap hp tolong Garena perbaiki gamenya 👍
Pengguna Google,3,2025-04-19 01:36:36,trimakasih buat garena sudah adain ff tpi sekarang tolong dong bug ny di hapus dong tolong dong ya ff ny di benerin lagi dulu sih emng agk jlk tpi skrng lmyan dah jdi aku skrkng bri bntng 3 aj
Pengguna Google,5,2025-04-19 01:35:27,bagus meskipun burik ff di hati
Pengguna Google,5,2025-04-19 01:33:50,udah dri TK mainin ini smpe udh kls 6
Pengguna Google,5,2025-04-19 01:33:27,SAYA BERTIMAKASIH KEPADA FREE FIRE KARNA FREE FIRE MASIH MENGENAL AKU
Pengguna Google,5,2025-04-19 01:32:04,gamebya sangat seru😘😘😘😘
Pengguna Google,1,2025-04-19 01:32:04,mhn mff sy mmbri bintang 1 krn kbnykn bug jd tlg d perbaiki!
Pengguna Google,5,2025-04-19 01:29:51,seru tp kurang grafik minecraft soalnya hp aku sampe ngefron gara² grafik.
Pengguna Google,5,2025-04-19 01:29:40,gm yang bagus
Pengguna Google,5,2025-04-19 01:29:25,Gamenya seru
Pengguna Google,5,2025-04-19 01:29:08,mantap mimin garena
Pengguna Google,3,2025-04-19 01:28:15,min tolong grafik nya lebih bagus dan realistis di PC sama di mobile sama juga tolong perba Iki bug di FF ini aku sering kena bung kaya nembus di Ding Ding sama di tanah aku juga melihat orang masuk ke Ding Ding dan nembak orang lain juga mohon sekali lagi per baiki bug nya tolong hanya begitu aja terima kasih
Pengguna Google,5,2025-04-19 01:27:32,tapi asik dibuat dalam
Pengguna Google,5,2025-04-19 01:24:21,sangat baik
Pengguna Google,5,2025-04-19 01:23:40,BEH GW HOKI BANGET PADAHAL UDAH 4 TAHUN MAEN TAPI HOKINYA MASIH BERASA AK47 CUMAN 1KALI SPIN TRUS DI MYSTERI SHOP DAPET 90% TERUS. ABIS ITU BIZON SAMA CELANA ANGEL JUGA TERMASUK HOKI SOALNYA CELANA ANGEL CUMAN HABIS 75 DM DARI MYSTERI SHOP BIZON CUMAN HABIS 28 DM BEH GW SARANIN KALO MAU MAIN GAME TAPI SUSAH TOP UP MENDING MAIN FREE FIRE AJA PASTI HOKI SAMA MIMIN GARENA(MESKIPUN UCAPAN GW TADI BOHONG SEMUA)
Pengguna Google,5,2025-04-19 01:22:40,game yang seru
Pengguna Google,5,2025-04-19 01:22:11,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻⛅
Pengguna Google,5,2025-04-19 01:22:04,bagus
Pengguna Google,2,2025-04-19 01:19:19,gw lose strick gara gara musuh nya jago temen nya bot cokk gua kan jadi kesel sampe nangis gw per baiki lah jangan gitu main nya kesel loh burik
Pengguna Google,5,2025-04-19 01:19:06,ini game bagus banget
Pengguna Google,5,2025-04-19 01:16:49,untuk game nya bagus tapi suka ada bug damage smaka sekarang kalo main di rank besar banyak pake panel
